status,gender,province,birthPlace,deathDate,deathCause,actor
0,2,5,Kastoun,4/11/2018,15,3
0,1,5,Kastoun,4/11/2018,15,3
0,3,5,Kastoun,4/11/2018,15,3
0,2,5,Kastoun,4/11/2018,15,3
0,3,5,Kastoun,4/11/2018,15,3
0,0,3,West Mlaiha,4/10/2018,4,5
0,2,5,Kaferzita,4/9/2018,10,5
0,0,3,Ein Dakar,4/9/2018,5,6
0,2,2,Douma,4/8/2018,15,5
0,0,7,Telbeiseh,4/8/2018,10,5
0,2,7,Telbeiseh,4/8/2018,10,5
0,1,7,Telbeiseh,4/8/2018,10,5
0,1,7,Telbeiseh,4/8/2018,10,5
0,0,2,Mleha,4/8/2018,15,5
1,0,1,Jobar,4/8/2018,11,5
0,0,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,1,2,Douma,4/7/2018,0,5
0,1,2,Douma,4/7/2018,0,5
0,1,2,Douma,4/7/2018,0,5
0,1,2,Douma,4/7/2018,0,5
0,1,2,Douma,4/7/2018,0,5
0,1,2,Douma,4/7/2018,0,5
0,1,2,Douma,4/7/2018,0,5
0,1,2,Douma,4/7/2018,0,5
0,1,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,3,2,Douma,4/7/2018,0,5
0,3,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,3,2,Douma,4/7/2018,0,5
0,3,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,3,2,Douma,4/7/2018,0,5
0,1,2,Douma,4/7/2018,0,5
0,3,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
1,0,7,Granada,4/7/2018,11,5
0,0,2,Douma,4/7/2018,15,5
0,3,2,Douma,4/7/2018,0,5
0,3,2,Douma,4/7/2018,0,5
0,1,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,2,2,Douma,4/7/2018,0,5
1,0,12,Tabqeh,4/7/2018,11,6
1,0,12,Tabqeh,4/7/2018,11,6
0,1,7,Ezzedine,4/7/2018,10,5
0,0,0,Tel Daman,4/7/2018,11,1
0,0,2,Adra,4/7/2018,11,5
0,1,2,Zamalka,4/7/2018,15,5
1,0,2,Dumair,4/7/2018,11,5
0,0,2,Misraba,4/7/2018,11,5
0,0,2,Douma,4/7/2018,15,5
0,0,2,Douma,4/7/2018,15,5
0,0,2,Douma,4/7/2018,15,5
0,0,2,Douma,4/7/2018,15,5
0,0,2,Douma,4/7/2018,15,5
0,0,2,Douma,4/7/2018,15,5
0,0,2,Douma,4/7/2018,15,5
0,0,2,Douma,4/7/2018,15,5
0,0,2,Douma,4/7/2018,15,5
0,0,2,Douma,4/7/2018,15,5
0,0,2,Douma,4/7/2018,15,5
0,0,2,Douma,4/7/2018,15,5
0,0,2,Douma,4/7/2018,15,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/7/2018,0,5
0,0,2,Douma,4/6/2018,15,5
0,1,2,Douma,4/6/2018,15,5
0,1,2,Douma,4/6/2018,15,5
0,1,2,Douma,4/6/2018,15,5
0,0,5,Jomaklia,4/6/2018,10,5
0,2,7,Ghantto,4/6/2018,10,5
0,0,2,Douma,4/6/2018,15,5
0,0,2,Douma,4/6/2018,15,5
0,0,2,Douma,4/6/2018,15,5
0,0,2,Douma,4/6/2018,15,5
0,0,2,Douma,4/6/2018,15,5
0,3,2,Douma,4/6/2018,15,5
0,0,2,Douma,4/6/2018,15,5
0,0,2,Douma,4/6/2018,15,5
0,2,2,Douma,4/6/2018,15,5
0,0,2,Douma,4/6/2018,15,5
0,0,2,Douma,4/6/2018,15,5
0,1,2,Douma,4/6/2018,15,5
0,3,2,Douma,4/6/2018,15,5
0,0,2,Douma,4/6/2018,15,5
0,0,2,Douma,4/6/2018,15,5
0,0,2,Douma,4/6/2018,15,5
0,0,2,Douma,4/6/2018,15,5
0,0,2,Douma,4/6/2018,15,5
