status,gender,province,birthPlace,deathDate,deathCause,actor
1,0,7,Rastan,2017,11,5
0,0,4,Dyban,2017,5,6
0,1,4,Hattla,2017,11,6
0,3,8,Maarat Hirmeh,2017,11,1
0,3,8,Sarmada,2017,11,5
0,0,2,Ein Tarma,2017,10,5
1,0,2,Douma,2017,11,5
0,0,1,Yarmuk Camp,2017,1,6
0,2,0,Karam Muayassar,2017,14,5
0,2,0,Karam Muayassar,2017,14,5
0,0,12,Rahbi village,2017,4,6
0,2,12,Marude village,2017,4,6
0,3,12,Marude village,2017,4,6
0,0,12,Raqqa city,2017,4,6
0,0,12,Rafqa neighborhood,2017,15,2
0,2,12,Rafqa neighborhood,2017,15,2
0,1,12,Rafqa neighborhood,2017,15,2
0,1,12,Rafqa neighborhood,2017,15,2
0,3,12,Rafqa neighborhood,2017,15,2
0,2,12,Raqqa city,2017,10,4
0,0,12,Madaan,2017,15,3
0,0,12,Nahdha neighborhood,2017,10,4
0,1,12,Nahdha neighborhood,2017,10,4
0,0,12,Raqqa city,2017,15,2
0,0,12,Raqqa city,2017,15,2
0,0,12,Raqqa city,2017,15,2
0,0,12,Al-Bohamad village,2017,15,3
0,0,12,Al-Bohamad village,2017,15,3
0,2,12,Al-Bohamad village,2017,15,3
0,1,12,Al-Bohamad village,2017,15,3
0,1,12,Al-Bohamad village,2017,15,3
0,1,12,Al-Bohamad village,2017,15,3
0,2,12,Al-Bohamad village,2017,15,3
0,2,12,Al-Bohamad village,2017,15,3
0,2,12,Al-Bohamad village,2017,15,3
0,0,0,Darat Azza,2017,15,2
0,0,0,Darat Azza,2017,15,2
0,2,0,Darat Azza,2017,15,2
0,2,0,Darat Azza,2017,15,2
0,1,0,Darat Azza,2017,15,2
0,0,4,Dyban,2017,15,2
0,0,7,Palmyra,2017,11,1
0,0,7,Palmyra,2017,11,1
1,0,8,Al-Zawia Mount: Maghara,2017,11,1
1,0,8,Al-Zawia Mount: Maghara,2017,11,1
1,0,8,Al-Zawia Mount: Maghara,2017,11,1
1,0,8,Al-Zawia Mount: Maghara,2017,11,1
1,0,8,Al-Zawia Mount: Maghara,2017,11,1
0,0,2,Hazza,2017,11,5
0,1,2,Beit Sawa,2017,4,5
1,0,2,Zabdeen,2017,11,5
1,0,2,Zabdeen,2017,11,5
1,0,2,Zabdeen,2017,11,5
0,0,2,Douma,2017,10,5
0,0,2,Douma,2017,10,5
0,0,4,Qourieh,2017,5,6
0,0,4,Bulial,2017,15,5
0,0,4,Joura Neighborhood,2017,11,1
0,0,4,Harabish,2017,10,6
0,0,12,Al-Boramdhan village,2017,15,3
0,3,12,Furat neighborhood,2017,15,2
0,1,12,Furat neighborhood,2017,15,2
0,2,12,Ameen neighborhood,2017,11,4
0,0,12,Rasheed neighborhood,2017,15,2
0,0,12,Zour Shamr village,2017,15,3
0,2,12,Zour Shamr village,2017,15,3
0,1,12,Zour Shamr village,2017,15,3
0,1,12,Zour Shamr village,2017,15,3
0,1,12,Zour Shamr village,2017,15,3
0,3,12,Zour Shamr village,2017,15,3
0,3,12,Zour Shamr village,2017,15,3
0,2,12,Jabali village,2017,15,3
0,0,12,Ayash village,2017,15,3
0,2,12,Ayash village,2017,15,3
0,3,12,Ayash village,2017,15,3
0,3,12,Ayash village,2017,15,3
0,1,12,Ayash village,2017,15,3
0,3,12,Ayash village,2017,15,3
0,3,12,Ayash village,2017,15,3
0,1,12,Ayash village,2017,15,3
0,1,12,Ayash village,2017,15,3
0,2,12,Ayash village,2017,15,3
1,0,2,Erbeen,2017,11,6
1,0,2,Erbeen,2017,11,6
0,0,2,Douma,2017,15,5
0,3,2,Harasta,2017,12,6
0,3,7,Palmyra,2017,4,6
0,3,7,Palmyra,2017,4,6
0,0,7,Palmyra,2017,4,6
0,1,7,Palmyra,2017,4,6
0,1,7,Palmyra,2017,4,6
0,3,7,Palmyra,2017,4,6
1,0,3,Der Al-Bakht,2017,4,5
0,0,8,Epleen,2017,11,1
0,0,4,Jafrah,2017,10,5
0,0,4,Jafrah,2017,10,5
0,0,4,Jafrah,2017,10,5
0,0,4,Jafrah,2017,10,5
0,0,4,Jafrah,2017,10,5
0,0,4,Jafrah,2017,10,5
0,0,4,Jafrah,2017,10,5
0,0,4,Jafrah,2017,10,5
0,0,0,Manbej,2017,4,5
1,0,0,Tel Rifaat,2017,11,4
1,0,0,Meng,2017,11,4
0,0,4,Bukmal: Bagour,2017,15,2
0,3,4,Bukmal: Bagour,2017,15,2
0,0,4,Sbikhan,2017,15,2
0,1,12,Furat neighborhood,2017,15,2
0,1,12,Sbikhan,2017,15,2
0,0,12,Furat neighborhood,2017,15,2
0,0,4,Mayadeen,2017,15,2
0,0,12,Furat neighborhood,2017,15,2
0,0,12,Furat neighborhood,2017,15,2
0,1,12,Furat neighborhood,2017,15,2
0,0,12,Furat neighborhood,2017,15,2
0,0,12,Furat neighborhood,2017,11,4
0,0,12,Al-Boramdhan village,2017,15,3
0,0,7,Faida,2017,15,5
0,2,1,Jobar,2017,15,5
