status,gender,province,birthPlace,deathDate,deathCause,actor
0,0,8,Ariah,2011,3,5
0,0,7,Bayadeh,2011,2,5
0,0,7,Deir Baalabeh: Bayadeh,2011,11,5
0,1,1,Hajar Aswad,2011,11,5
0,0,8,Idleb the City,2011,11,5
0,0,3,Daraa al-Balad,2011,11,5
0,0,5,Aleppo road district,2011,11,5
0,0,5,Homaydiyeh,2011,11,5
0,0,2,Mouadamyeh,2011,11,5
0,0,4,Book Mall,2011,11,5
0,0,3,Balad/city,2011,11,5
0,0,7,Telkekh,2011,11,5
0,0,5,Aleppo road district,2011,11,5
0,0,5,Hamidiah,2011,11,5
0,3,7,Talbiseh,2011,11,5
0,0,8,Maaret Al-Nooman,2011,11,5
0,0,5,Homaydiyeh,2011,11,5
0,0,5,15 March Street,2011,11,5
0,0,7,Safsafeh,2011,11,5
0,0,5,Bab Al Balad,2011,11,5
0,0,8,Maaret Al-Nooman,2011,5,5
0,0,2,Kesweh,2011,11,5
1,0,3,Hara,2011,11,5
0,0,7,Qosoor,2011,11,5
0,0,2,Mouadamyeh,2011,11,5
0,0,5,Hader,2011,11,5
0,0,8,Kelli,2011,11,5
0,0,5,Aleppo road district,2011,8,5
1,0,2,Sbeneh,2011,11,5
0,0,3,Basr Al-Hareer,2011,13,5
0,0,5,Farayeh,2011,11,5
0,0,5,Mrabet,2011,11,5
0,0,7,Baba Amr,2011,2,5
0,0,2,Kesweh,2011,11,5
1,0,7,Qosair,2011,11,5
0,0,4,Quriyeh,2011,11,5
0,0,7,Bayadeh,2011,10,5
0,0,7,Baba Amr,2011,10,5
0,0,7,Homs Qadeemeh- Bab Howd,2011,11,5
0,0,7,Rastan,2011,2,5
0,0,7,Bayadeh,2011,11,5
1,0,5,Kafarnaboda,2011,11,5
0,0,7,Baba Amr,2011,10,5
0,0,5,Khattab,2011,11,5
0,0,7,Karm Al-Zeitoon,2011,13,5
0,0,7,Telkekh,2011,11,5
0,0,0,Salahuddin neighborhood,2011,9,5
0,1,3,Nawa,2011,11,5
0,1,8,Maaret Al-Nooman,2011,11,5
0,0,7,Hawleh,2011,3,5
0,3,7,Baba Amr,2011,10,5
0,2,7,Baba Amr,2011,11,5
0,0,7,Hawleh,2011,3,5
0,1,7,Bayadeh,2011,11,5
1,0,7,Qosair,2011,3,5
0,0,7,Ghantu,2011,2,5
0,0,7,Hawleh,2011,3,5
0,0,7,Talbesieh,2011,10,5
0,0,7,Hawleh,2011,3,5
1,0,2,Sayeda Zeinab,2011,11,5
0,0,7,Khaledeyeh,2011,11,5
0,0,7,Deir Baalabeh,2011,11,5
0,0,8,Al-Zawia Mount: Rami,2011,3,5
0,0,7,Baba Amr: Jawbar,2011,11,5
0,0,5,Kafr Nabbodeh,2011,11,5
0,0,3,Ghabagheb,2011,11,5
0,0,7,Deir Baalabeh,2011,11,5
0,1,4,Ashareh,2011,11,5
0,0,7,Deir Baalabeh,2011,11,5
0,0,7,Baba Amr,2011,10,5
0,0,3,Tefs,2011,11,5
0,0,7,Bayadeh,2011,11,5
0,0,8,Idleb the City,2011,11,5
0,0,7,Baba Amr,2011,11,5
0,0,7,Baba Amr,2011,11,5
0,0,3,Nooaymeh,2011,2,5
0,0,5,Hamidiah,2011,11,5
0,1,3,Basr Al-Hareer,2011,11,5
0,0,7,Qosair: Heit,2011,11,5
0,0,7,Hawleh: Kafr Laha,2011,10,5
0,1,5,Arbaeen neighborhood,2011,10,5
1,0,8,Maaret Mesreen,2011,11,5
1,0,8,Maaret Al-Nooman,2011,5,5
0,0,7,Hawleh,2011,2,5
0,0,7,Qosair,2011,11,5
0,0,7,Deir Baalabeh,2011,11,5
0,0,8,Sermin,2011,11,5
0,0,5,Sheeheh,2011,10,5
0,0,7,Bayadeh,2011,11,5
0,0,5,Qalet Al-Madeeq,2011,10,5
0,0,7,Baba Amr,2011,2,5
0,0,7,Baba Amr,2011,11,5
0,0,7,Qosoor,2011,11,5
0,0,5,Qalet Al-Madeeq,2011,10,5
0,0,8,Khan Sheikhoun,2011,11,5
0,1,7,Bayadeh,2011,11,5
1,0,5,Mawrek,2011,11,5
0,0,3,Basr Al-Hareer,2011,11,5
0,0,5,Homaydiyeh,2011,11,5
0,2,10,Iraq,2011,11,5
0,0,8,Kafr Yehmool,2011,11,5
1,0,8,Maaret Mesreen,2011,11,5
0,0,8,Kafr Yehmool,2011,11,5
0,0,8,Kafr Yehmool,2011,11,5
0,1,7,Bayadeh,2011,11,5
0,0,7,Baba Amr,2011,11,5
0,0,8,Kafr Yehmool,2011,11,5
1,0,8,Maaret Mesreen,2011,11,5
1,0,3,Aqraba,2011,6,5
0,0,8,Kafr Yehmool,2011,11,5
0,0,8,Kafr Yehmool,2011,11,5
0,0,5,Oqayrat,2011,11,5
0,0,8,Kafr Yehmool,2011,11,5
0,0,5,Kafarnaboda,2011,2,5
0,0,5,Helfaya,2011,11,5
0,1,7,Baba Amr,2011,11,5
0,0,5,Helfaya,2011,11,5
0,0,7,Baba Amr,2011,11,5
0,2,7,Baba Amr,2011,11,5
0,1,7,Baba Amr,2011,11,5
1,0,3,Ghabagheb,2011,11,5
0,0,7,Baba Amr,2011,2,5
1,0,5,Mawrek,2011,11,5
0,0,7,Khaledeyeh,2011,11,5
0,0,7,Bayadeh,2011,11,5
0,0,2,Harasta,2011,2,5
0,0,7,Hawleh,2011,11,5
0,0,7,Bayadeh,2011,11,5
0,1,2,Al-Tal,2011,2,5
1,0,8,Mohanbel,2011,10,5
0,0,7,Jub Al-Jendeli,2011,11,5
0,0,7,Bayadeh,2011,11,5
0,1,2,Hamouria,2011,11,5
0,1,2,Dumair,2011,11,5
0,0,2,Zamlaka,2011,11,5
0,1,7,Karm Al-Zeitoon,2011,11,5
0,0,6,Qameshlo,2011,11,5
0,0,7,Baba Amr,2011,11,5
0,0,7,Baba Amr,2011,2,5
0,0,7,Karm Al-Zeitoon,2011,11,5
0,0,7,Bayadeh,2011,11,5
0,0,7,Karm Al-Zeitoon,2011,11,5
0,0,7,Deir Baalabeh,2011,11,5
0,0,7,Karm Al-Zeitoon,2011,6,5
0,1,8,Seraqeb,2011,11,5
0,0,7,Shammas district,2011,11,5
0,0,7,Sokhneh,2011,11,5
0,0,7,Deir Baalabeh,2011,8,5
0,0,7,Zaafaraneh,2011,5,5
0,0,7,Zaafaraneh,2011,5,5
0,0,7,Karm Al-Zeitoon: Asheereh district,2011,5,5
0,1,7,Zaafaraneh,2011,5,5
0,0,7,Deir Baalabeh,2011,8,5
0,0,7,Baba Amr,2011,10,5
0,0,7,Bayadeh,2011,11,5
0,1,7,Karm Al-Zeitoon,2011,6,5
0,0,7,Deir Baalabeh,2011,8,5
0,0,7,Bayadeh,2011,11,5
0,0,7,Khaledeyeh,2011,11,5
0,0,7,Zaafaraneh,2011,5,5
0,1,7,Deir Baalabeh,2011,11,5
0,0,7,Hawleh/Teldo,2011,11,5
0,0,8,Mohanbal,2011,11,5
0,0,7,Deir Baalabeh,2011,11,5
0,0,7,Deir Baalabeh,2011,11,5
0,0,7,Deir Baalabeh,2011,11,5
0,0,7,Karm Al-Zeitoon,2011,10,5
0,0,7,Jub Al-Jendeli,2011,11,5
0,0,7,Karm Al-Zeitoon,2011,10,5
0,0,7,Karm Al-Zeitoon,2011,10,5
0,0,7,Karm Al-Zeitoon,2011,11,5
0,0,7,Waer,2011,11,5
0,1,7,Waer,2011,11,5
0,1,7,Waer,2011,11,5
0,2,7,Bab Tadmor,2011,11,5
0,3,7,Waer,2011,11,5
0,0,7,Baba Amr,2011,11,5
0,0,6,Qameshli - Kersoor,2011,11,5
0,0,7,Sokkareh,2011,6,5
0,0,7,Baba Amr,2011,11,5
0,0,5,Teremseh,2011,11,5
0,0,7,Jawbar,2011,5,5
0,0,2,"Qalmoun, Qaneeteh",2011,11,5
0,0,0,Ayn Arab,2011,11,5
0,0,7,Bayadeh,2011,11,5
0,0,5,Teremseh,2011,11,5
0,0,5,Zakat,2011,11,5
1,0,8,Mount Al-Zawia: Shannan village,2011,11,5
1,0,5,Kernaz,2011,11,5
0,0,5,Teremseh,2011,2,5
0,0,5,Aleppo Road,2011,11,5
0,0,8,Idleb the City,2011,11,5
0,0,7,Khaledeyeh,2011,11,5
0,0,8,Feyloon,2011,11,5
0,0,7,Baba Amr,2011,11,5
0,0,5,Latamneh,2011,2,5
0,0,7,Baba Amr,2011,11,5
0,1,7,Baba Amr,2011,11,5
0,0,8,Maarat Numan,2011,11,5
0,0,7,Bayadeh,2011,11,5
0,0,7,Bayadeh,2011,11,5
1,0,4,Qooriyeh,2011,5,5
0,0,5,Ayn Taqeh,2011,11,5
0,0,7,Baba Amr,2011,11,5
0,0,7,Karm Al-Zeitoon,2011,11,5
0,0,5,Ayn Taqeh,2011,11,5
0,0,7,Qosair: Bowaydeh,2011,11,5
0,0,7,Qosair/Bowaydeh Sharqyeh,2011,11,5
0,0,7,Qosair/Bowaydeh Sharqyeh,2011,11,5
0,0,7,Qosair/Bowaydeh Sharqyeh,2011,11,5
0,0,7,Qosair/Bowaydeh Sharqyeh,2011,11,5
0,0,7,Tal Zahab,2011,11,5
0,0,8,Kafr Nobl,2011,11,5
0,0,8,Maarshamsheh,2011,10,5
0,1,7,Hawleh,2011,11,5
0,0,7,Talbesieh,2011,11,5
0,0,7,Deir Baalabeh,2011,11,5
0,0,7,Khaledeyeh,2011,11,5
0,0,7,Enshaat,2011,11,5
0,0,8,Kafromeh,2011,2,5
0,0,7,Bayadeh,2011,3,5
0,0,7,Bayadeh,2011,11,5
0,0,7,Khaledeyeh,2011,11,5
0,0,7,Bayadeh,2011,11,5
0,0,7,Qosair,2011,8,5
0,0,8,Bensh,2011,11,5
0,0,7,Baba Amr,2011,3,5
0,0,7,Telkekh,2011,11,5
0,0,7,Hawleh: Kafr Laha,2011,2,5
0,0,8,Bensh,2011,11,5
0,0,7,Telkekh: Sokkareh,2011,5,5
0,0,5,Helfaya,2011,11,5
0,0,8,Kafr Takhareem,2011,11,5
0,0,8,Beerat Armanaz,2011,11,5
0,0,8,Kafr Takhareem,2011,11,5
0,0,8,Kafreneh,2011,11,5
0,0,8,Kafreneh,2011,11,5
0,0,5,Helfaya,2011,11,5
0,0,5,Helfaya,2011,11,5
0,0,8,Kafr Takhareem,2011,11,5
0,0,3,Hara,2011,11,5
0,1,2,Erbeen,2011,11,5
0,0,3,Hara,2011,11,5
0,0,3,Hara,2011,11,5
0,0,3,Hara,2011,11,5
0,0,5,Meshaa,2011,11,5
0,1,2,Erbeen,2011,11,5
0,1,3,Deraa: city,2011,11,5
0,0,7,Telkekh,2011,11,5
0,0,7,Furqulus,2011,11,5
0,0,7,Wadi Arab,2011,11,5
0,0,7,Bayadeh,2011,11,5
0,0,7,Qosair: Bowaydeh Sharqyeh,2011,11,5
0,0,5,Wadi Joz,2011,11,5
0,0,7,Karam Al-Shami,2011,11,5
0,0,7,Baba Amr,2011,11,5
0,0,7,Baba Amr,2011,11,5
0,2,7,Der Baalba,2011,11,5
0,0,7,Ghantu,2011,11,5
1,0,3,Basr Al-Hareer,2011,5,5
0,0,7,Baba Amr,2011,11,5
0,0,7,Karam Al-Shami,2011,11,5
0,1,7,Qosair,2011,11,5
0,0,5,Mehredeh: Kernaz,2011,2,5
0,0,7,Deir Baalabeh,2011,11,5
0,0,7,Baba Amr,2011,11,5
0,0,7,Qosair,2011,11,5
0,0,7,Khaldia,2011,10,5
0,0,7,Khaldia,2011,10,5
0,0,7,Baba Amr,2011,11,5
0,2,7,Bayadeh,2011,11,5
0,0,5,Homaydiyeh,2011,11,5
0,0,5,Mehredeh: Kernaz,2011,11,5
0,0,5,Sahel Al-Ghab: Kafr Naboodeh,2011,11,5
0,0,5,Kernaz,2011,11,5
0,0,7,Deir Baalabeh,2011,11,5
0,0,7,Deir Baalabeh: Bayadeh,2011,11,5
0,0,5,Mehredeh: Kernaz,2011,11,5
0,0,5,Mehredeh: Kernaz,2011,11,5
1,0,8,Maaret Al-Nooman,2011,5,5
0,0,7,Deir Baalabeh,2011,11,5
0,3,7,Bayadeh,2011,10,5
1,0,7,Ezzedine,2011,11,5
0,0,8,Seraqeb,2011,11,5
0,0,7,Karm Al-Zeitoon: Nazeheen/Migrants,2011,10,5
0,0,7,Deir Baalabeh,2011,11,5
0,0,8,Kaframim,2011,11,5
0,0,8,Al-Zawia Mount: Rami,2011,2,5
0,0,7,Qosair: east Bowaydeh,2011,11,5
0,0,7,Khaledeyeh,2011,11,5
0,0,7,Qosoor,2011,10,5
0,0,7,Homs Al-Qadeemeh: Jub Al-Jendeli,2011,11,5
0,0,7,Bayadeh,2011,2,5
0,0,7,Khaledeyeh,2011,11,5
